ID,Name,Lat,Lon
72433,"Salem, Salem-Leckrone Airport",38.6333,-88.95
72434,Lambert-St Louis International  Airport,38.75,-90.0333
72435,Barkley Regional Airport,37.05,-88.7667
72438,Indianapolis International  Airport,39.7167,-86.1167
72440,Springfield-Branson National,37.2333,-93.05
72445,Columbia Regional Airport,38.8167,-92.2167
72446,Kansas City Airport,39.3,-94.0667
72449,Rosecrans Memorial Airport,39.7667,-94.0833
72450,Wichita Mid-Continent Airport,37.65,-97.1
72451,Dodge City Regional Airport,37.7667,-99.1333
72452,Medicine Lodge,37.2833,-98.55
72455,"Fort Riley, Marshall Aaf Ft Riley",39.05,-96.75
72456,Topeka Billard Municipal Airport,39.0667,-95.1333
72458,"Concordia, Blosser Municipal Airport",39.55,-97.65
72460,Elkhart / Elkhart-Morton County Airport,37,-101.8833
72462,San Luis Valley Regional,37.4333,-105.8667
72464,Pueblo Memorial Airport,38.2833,-104.5
72465,Goodland Renner Field,39.3667,-101.7
72466,Colorado Springs Muni,38.8167,-104.7167
72468,Fort Carson,38.7,-104.7667
72469,"Denver / Stapleton International, Co.",39.7833,-104.8667
72470,Price Carbon County Airport,39.6167,-110.75
72476,Grand Junction Walker Field,39.1333,-108.5333
72480,Bishop Airport,37.3667,-118.3667
72481,Merced / Castle Air Force Base,37.3667,-120.5667
72483,Sacramento Executive Airport,38.5,-121.5
72486,Ely Airport (Yelland Field),39.3,-114.85
72487,Caliente,37.6,-114.5167
72488,Reno/Tahoe International  Airport,39.4833,-119.7667
72489,"Reno, Nv.",39.5667,-119.8
72491,"Monterey / Naf, Ca.",36.6,-121.85
72492,Stockton Metropolitan Airport,37.9,-121.2333
72493,Metro Oakland International  Airport,37.7167,-122.2333
72494,San Francisco Airport,37.6167,-122.3667
72495,Farallon Island,37.7,-123
72501,"Upton, Ny.",40.8667,-72.8667
72502,Newark Airport,40.6833,-74
72503,LaGuardia Airport,40.7833,-73.05
72504,Sikorsky Memorial Airport,41.1667,-73.1333
72506,Otis Air National Guard Base,41.65,-70.5167
72507,Providence Green State Airport,41.7333,-71.4333
72508,Bradley International Airport,41.9333,-72.6833
72509,Boston Logan International,42.3667,-71.0167
72513,Wilkes-Barre/Scranton International,41.3333,-75.0667
72514,Williamsport-Lycoming County,41.25,-76.9167
72515,Binghamton Regional Airport,42.2,-75.15
72517,Lehigh Valley International  Airport,40.65,-75.45
72518,Albany International Airport,42.75,-73.1333
72519,Syracuse Hancock International  Airport,43.1167,-76.1
72520,Greater Pittsburgh International,40.4833,-80.0667
72521,Akron-Canton Regional Airport,40.9167,-81.45
72523,"Dansville / Municipal, Ny.",42.5667,-77.7167
72524,Cleveland-Hopkins International,41.4,-81.85
72525,Youngstown-Warren Reg Airprt,41.25,-80.6667
72526,Erie International Airport,42.0833,-80.1833
72528,Buffalo Airport,42.9333,-78.7333
72529,Greater Rochester International,43.1167,-77.6833
72530,Chicago O’hare Airport,41.9833,-87.9167
72531,"Rantoul / Chanute Air Force Base, Il.",40.3,-88.15
72532,Greater Peoria Regional Airport,40.6667,-89.0167
72533,Fort Wayne International,41,-85.0333
72534,Chicago Midway Airport,41.7833,-87.75
72535,South Bend Regional Airport,41.7,-86.3167
72536,Toledo Express Airport,41.5833,-83.8
72537,Detroit Metropolitan,42.2333,-83
72539,Capital City Airport,42.7833,-84.5833
72540,Spickard,40.25,-93.7167
72543,Greater Rockford Airport,42.2,-89.1
72544,Moline Quad-City Airport,41.45,-90.0167
72546,Des Moines International,41.5333,-93
72547,Dubuque Regional Airport,42.4,-90.0333
72548,Waterloo Municipal Airport,42.55,-92.0667
72549,Fort Dodge,42.55,-94.1833
72550,Omaha Eppley Airfield,41.3,-95.9
72551,Lincoln Municipal Airport,40.8333,-96.1
72552,Central Nebraska Regional,40.9667,-98.15
72553,"Omaha, Ne.",41.3667,-96.0167
72554,Omaha / Offutt Air Force Base,41.1167,-95.9
72556,Karl Stefan Memorial Airport,41.9833,-97.4333
72557,Sioux Gateway Airport,42.3833,-96.05
72558,Valley,41.3167,-96.3667
72561,Sidney Municipal Airport,41.1,-102.9833
72562,North Platte Regional Airport,41.1167,-100.6667
72564,Cheyenne Airport,41.15,-104.8
72565,Denver International Airport,39.8667,-104.6667
72566,Scottsbluff Heilig Field,41.8667,-103.6
72567,"Miller Field - Valentine, Ne",42.8667,-100.55
72568,Douglas Converse County,42.8,-105.3833
72569,Natrona County International  Airport,42.9,-106.4667
72570,Craig Moffat Airport,40.5,-107.5167
72572,Salt Lake City International  Airport,40.7833,-111.9667
72574,Rock Springs-Sweetwater Co,41.6,-109.05
72575,Ogden-Hinckley Airport,41.2,-112.0167
72576,Lander Hunt Field,42.8167,-108.7333
72578,Pocatello Regional Airport,42.9167,-112.6
72581,Wendover / Air Force Auxillary Field,40.7333,-114.0333
72582,"Elko, Nv.",40.8667,-115.7333
72583,Winnemucca Municipal Airport,40.9,-117.8
72590,Fort Bragg,39.4,-123.8167
72591,Red Bluff Municipal Airport,40.15,-122.25
72592,Redding Municipal Airport,40.5,-122.2833
72594,Eureka,40.8,-124.1667
72597,Rogue Valley International  Airport,42.3833,-122.8833
72604,"Franconia, Nh",44.2167,-71.75
72605,"Concord, Concord Municipal Airport",43.1833,-71.5
72606,Portland International  Jetport,43.65,-70.1333
72608,Eastport,44.9167,-67
72612,Newport,44.9333,-72.2
72613,Mount Washington,44.2667,-71.3
72614,St Johnsbury Fairbanks,44.4167,-72.0167
72616,Berlin Municipal Airport,44.5833,-71.0167
72617,Burlington International,44.4667,-73.15
72618,Rumford,44.5333,-70.5333
72632,"White Lake, Mi.",42.7,-83.4667
72634,"Gaylord, Mi.",44.9167,-84.7167
72635,Gerald R. Ford International,42.8833,-85.5167
72636,Muskegon County Airport,43.1667,-86.2333
72637,Flint Bishop International  Airport,42.9667,-83.0833
72638,Roscommon County Airport,44.35,-84.6667
72639,Alpena County Regional Airport,45.0833,-83.5667
72640,Gen Mitchell International  Airport,42.95,-87.0667
72641,Madison Dane County Rgnl,43.1333,-89.0167
72643,La Crosse Municipal Airport,43.8833,-91.25
72644,Rochester International Airport,43.9,-92.5
72645,Austin Straubel International  Airport,44.4833,-88.1333
72648,Escanaba,45.75,-87.0333
72649,"Chanhaussen, Mn.",44.85,-93.5667
72651,Sioux Falls Foss Field,43.5833,-96.75
72652,"Pickstown, Sd.",43.0667,-98.5333
72653,Chamberlain Municipal Airport,43.7667,-99.3167
72654,Huron Regional Airport,44.3833,-98.2333
72656,"Winner, Bob Wiley Field Airport",43.3833,-99.8333
72658,Minneapolis-St Paul International,44.8667,-93.05
72659,Aberdeen Regional Airport,45.45,-98.4167
72661,"Redig, Sd.",45.2667,-103.5333
72662,Rapid City Regional Airport,44.05,-103.05
72665,Gillette-Campbell Cty Airport,44.3333,-105.55
72666,Sheridan County Airport,44.7667,-106.9667
72670,Cody,44.5167,-109.0167
72671,Big Piney-Marbleton Airport,42.5833,-110.1
72672,Riverton Regional Airport,43.0667,-108.45
72677,Logan International Airport,45.8167,-108.55
72681,Boise Air Terminal,43.5667,-116.2333
72683,Burns Municipal Airport,43.6,-118.95
72688,Pendleton Municipal Airport,46.1667,-119.3833
72693,Mahlon Sweet Field,44.1333,-123.2167
72694,Salem McNary Field,44.9,-123
